date,zip_code,ReportingArea,StateCode,Latitude,Longitude,OZONEAQI,PM2.5AQI,PM10AQI,CategoryNumber,CategoryName
2022-09-26,2045,Weymouth,MA,42.2459,-70.9628,38.0,21.0,,1.0,Good
2022-09-27,2045,Weymouth,MA,42.2459,-70.9628,41.0,21.0,,1.0,Good
2022-09-28,2045,Weymouth,MA,42.2459,-70.9628,26.0,14.0,,1.0,Good
2022-09-29,2045,Weymouth,MA,42.2459,-70.9628,20.0,15.0,,1.0,Good
2022-09-30,2045,Weymouth,MA,42.2459,-70.9628,24.0,23.0,,1.0,Good
2022-10-01,2045,Weymouth,MA,42.2459,-70.9628,28.0,20.0,,1.0,Good
2022-10-02,2045,Weymouth,MA,42.2459,-70.9628,29.0,23.0,,1.0,Good
2022-10-03,2045,Weymouth,MA,42.2459,-70.9628,30.0,19.0,,1.0,Good
2022-10-04,2045,Weymouth,MA,42.2459,-70.9628,26.0,27.0,,1.0,Good
2022-10-05,2045,Weymouth,MA,42.2459,-70.9628,24.0,18.0,,1.0,Good
2022-10-06,2045,Weymouth,MA,42.2459,-70.9628,26.0,23.0,,1.0,Good
2022-10-07,2045,Weymouth,MA,42.2459,-70.9628,44.0,26.0,,1.0,Good
2022-10-08,2045,Weymouth,MA,42.2459,-70.9628,26.0,11.0,,1.0,Good
2022-10-09,2045,Weymouth,MA,42.2459,-70.9628,34.0,20.0,,1.0,Good
2022-10-10,2045,Weymouth,MA,42.2459,-70.9628,31.0,32.0,,1.0,Good
2022-10-11,2045,Weymouth,MA,42.2459,-70.9628,32.0,31.0,,1.0,Good
2022-10-12,2045,Weymouth,MA,42.2459,-70.9628,54.0,38.0,,2.0,Moderate
2022-10-13,2045,Weymouth,MA,42.2459,-70.9628,41.0,29.0,,1.0,Good
2022-10-14,2045,Weymouth,MA,42.2459,-70.9628,30.0,15.0,,1.0,Good
2022-10-15,2045,Weymouth,MA,42.2459,-70.9628,37.0,28.0,,1.0,Good
2022-10-16,2045,Weymouth,MA,42.2459,-70.9628,36.0,47.0,,1.0,Good
2022-10-17,2045,Weymouth,MA,42.2459,-70.9628,30.0,42.0,,1.0,Good
2022-10-18,2045,Weymouth,MA,42.2459,-70.9628,37.0,32.0,,1.0,Good
2022-10-19,2045,Weymouth,MA,42.2459,-70.9628,24.0,20.0,,1.0,Good
2022-10-20,2045,Weymouth,MA,42.2459,-70.9628,28.0,19.0,,1.0,Good
2022-10-21,2045,Weymouth,MA,42.2459,-70.9628,37.0,28.0,,1.0,Good
2022-10-22,2045,Weymouth,MA,42.2459,-70.9628,44.0,39.0,,1.0,Good
2022-10-23,2045,Weymouth,MA,42.2459,-70.9628,38.0,44.0,,1.0,Good
2022-10-24,2045,Weymouth,MA,42.2459,-70.9628,24.0,21.0,,1.0,Good
2022-10-25,2045,Weymouth,MA,42.2459,-70.9628,16.0,15.0,,1.0,Good
2022-10-26,2045,Weymouth,MA,42.2459,-70.9628,17.0,14.0,,1.0,Good
